url,text
https://x.com/anothercohen/status/1745275599097127356?s=20,"If you're questioning whether it's too early to ship your product, just remember that Boeing shipped 737 Max airplanes without fully tightening down all of the bolts"
https://x.com/diligentium/status/1744994086929780857?s=20,"Cool toy! 👍

But the R1 seems to rely on the user knowing what they want and being able to say it

Many of us are dunderheads

Articulating what we want is hard 😵‍💫

We like our phones because visual cues help us to collect our thoughts

The R1 seems too taxing for my aged brain"
https://x.com/naval/status/1002104154737684480?s=20,"Learn to sell. Learn to build. If you can do both, you will be unstoppable."
https://x.com/jxmnop/status/1737129875746468140?s=20,"Seen a lot of evidence that GPT-4 crushes Gemini on all the head-to-head LM benchmarks. here's my theory about what went wrong:

- chatGPT released
- google execs freak out
- google consolidates (integrates Deepmind, Brain)
- google assembles a giant team to build a single giant language model (spoiler: it's gemini)
- team defines success as building the system that gets the best performance on MMLU
- team starts building model
- finds out that beating GPT-4 level performance is really hard
- many cycles of experimental iteration ensue, all with bottom-line MMLU performance dictating success
- data mix, architectural decisions, training hyperparameters, etc. are chosen **to maximize MMLU score**
- Google releases Gemini Ultra, a model that gets the best MMLU score in the world, but isn't nearly as generally capable as GPT-4

(Also a great real-world example of Goodhart's law -- ""When a measure becomes a target, it ceases to be a good measure""...)"
https://x.com/historyinmemes/status/1736856310757384262?s=20,"Kanye West on the phone with Taylor Swift before dropping ""Famous"""
https://x.com/philip_ruffini/status/1736948535344435619?s=20,"For my ambitious friends under 30 that now make more money than your parents this is for you

It’s okay to move to a more expensive city and do things to treat yourself

If you’re smart and ambitious your income is going to rise year over year

Once you have a decent nest egg $100k+ your ability to save is going to grow rapidly as that compounds in the market

Your life is going to be pretty much the same between a $250k-$1M net worth so focus on things in life that will give you full step function changes in the quality of your life instead of incremental

If you’re under 30 and have $250k liquid you’re so far ahead of so many people 

It’s literally the 0.0001% that are FB SWEs with $1M liquid at 30

The issue is that probably 60-80% of the world if not more lives pay check to paycheck and doesn’t save or think about the future

This is the group of people most general advice is given to

Not the ambitious self-made hustlers

The happy medium is thinking 10-20 years in the future but still spending money to enjoy yourself 

Also, do things that have a high ROI

This tweet came from a friend asking if they should live in Hong Kong or Thailand

The CFO of Tencent isn’t taking him to dinner in Thailand"
https://x.com/2irl4u/status/1737064721843359924?s=20,"We’re building a social a—

VC: not interested 

The team is French 

VC:"
https://x.com/darylginn/status/1736756570414010398?s=20,the real reason it took adobe 15 months to decide not to buy figma is because that's how long it took them to open up acrobat reader to check out the contract
https://x.com/Karmedge/status/1736531243120893961?s=20,"Here's to the crazy ones, the nerds, the AI tinkers
I have connected mistral 7B to M2 Chip in a native MacOS Swift app to the llama.cpp"
https://x.com/hud_zah/status/1734388746647114094?s=20,mfs who put founder in their bio 😭😭😭😭😭 like bro what did u find
